标题,价格,面积,装修,类型,小区,小区名称,行政区,社区
理工大 二仙桥 精装套一带阳台 无中介费,1900,50平方米,精装修,普通住宅,东城映象A区>成华>圣灯路,东城映象A区,成华,圣灯路
无中介 可月付 天府五街地铁口 精装套一 实图 天府三街,1300,40平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
春熙路0中介李家沱单身公寓府青路电子科大可短租八里小区近地铁,1540,40平方米,精装修,公寓,玛塞城>成华>建设路,玛塞城,成华,建设路
抢！品质套一，清江西路地铁口西单商场旁，上下班生活便利,3200,68平方米,精装修,普通住宅,仁和金沙>青羊>金沙,仁和金沙,青羊,金沙
精装套一，西单商场旁清江西路地铁口，高品质小区随时看房,3200,68平方米,精装修,普通住宅,仁和金沙>青羊>金沙,仁和金沙,青羊,金沙
哥谭落地窗标间 汇锦城 两江国际 香悦城 世纪城天府一街精装,1500,38平方米,精装修,公寓,哥谭>高新区>世纪城,哥谭,高新区,世纪城
索尔龙舟 酒店公寓 家具家电全齐 业主这边很好说话,1380,25平方米,精装修,普通住宅,索尔龙舟>锦江>川师,索尔龙舟,锦江,川师
金雁路 地铁口，电梯标准套一，直租，家具家电齐全，拎包入住,1600,55平方米,精装修,普通住宅,清沙苑>武侯>五大花园,清沙苑,武侯,五大花园
頂级私邸！银泰中心华悦府豪装一居 轻奢风 中国华商 花漾锦江,8000,121平方米,豪华装修,普通住宅,成都银泰中心华悦府>高新区>金融城,成都银泰中心华悦府,高新区,金融城
中国华商奢华一居 看公园6千3 银泰中心华悦居 花漾锦江誉峰,6300,96平方米,豪华装修,普通住宅,华侨凤凰中国华商金融中心>高新区>金融城,华侨凤凰中国华商金融中心,高新区,金融城
现代风好房！银泰中心豪装套一 国际品牌奢配！花漾锦江 华商,8500,120平方米,豪华装修,普通住宅,成都银泰中心华悦府(商住楼)>武侯>火车南站,成都银泰中心华悦府(商住楼),武侯,火车南站
上善清波小区  1室1厅1卫 1800元月 精装修,1800,50平方米,精装修,普通住宅,上善清波小区(B)>青羊>外金沙,上善清波小区(B),青羊,外金沙
天府五街 软件园 嘉年华青年城 精装套一 家具齐全 拎包入住,1400,30平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
花牌坊抚琴地铁口附近小区房源独门独户家电齐全押一付一拎包入住,700,37平方米,简单装修,公寓,抚琴街北二巷2号院>金牛>抚琴小区,抚琴街北二巷2号院,金牛,抚琴小区
出租摩登时代24楼精装套一，家具家电空调，1.35万有少,1125,47平方米,精装修,普通住宅,崇德佳苑>邛崃市>邛崃城区,崇德佳苑,邛崃市,邛崃城区
现代简约 IFS恒大都汇华庭 恒大都汇华庭 时代豪庭国金豪庭,4800,88平方米,豪华装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
流星花园 东门大桥 民宿风格 价格从优 精装套一 随时看房,3000,50平方米,精装修,普通住宅,流星花园>锦江>东大街,流星花园,锦江,东大街
68号线双地铁口 精装大套一带双阳台 出租办公 万达锦华城,2000,63平方米,精装修,普通住宅,万达锦华城(商住楼)>锦江>万达,万达锦华城(商住楼),锦江,万达
成飞英国小镇套一 拎包入住 房源多多,1400,50平方米,简单装修,普通住宅,英国风情小镇玫瑰园>青羊>金沙,英国风情小镇玫瑰园,青羊,金沙
1号线四河地铁口 华府大道 怡丰新城 整租套一 可月付,1800,50平方米,精装修,公寓,美高登A座>天府新区>华阳,美高登A座,天府新区,华阳
4号线草堂北2号线白果林地铁口中间，3楼大套一,1350,50平方米,简单装修,普通住宅,石人南路39号院>青羊>石人,石人南路39号院,青羊,石人
上善清波小区 1室1厅1卫 1800元月 精装修,1800,50平方米,精装修,普通住宅,上善清波小区(B)>青羊>外金沙,上善清波小区(B),青羊,外金沙
旅游学院 电梯精装套一 家具家电齐全带空调 直接拎包入住,1100,42平方米,精装修,普通住宅,金色新时代>龙泉驿>总站片区,金色新时代,龙泉驿,总站片区
市二医院地铁口附近春熙路IFS旁周边设施齐全押一付一拎包入住,700,34平方米,简单装修,公寓,干槐树街8号院>锦江>大慈寺,干槐树街8号院,锦江,大慈寺
临地铁 半跃loft整租套一 这不是样板间手慢无 赶紧咨询,2700,62平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
温哥华南苑 包费用 1400元月 电梯房 精装修,1400,42平方米,精装修,普通住宅,温哥华南苑>双流>航空港,温哥华南苑,双流,航空港
内金沙 清江西路地铁口 欧式豪装套一 带浴缸  随时看房,3199,68平方米,精装修,普通住宅,仁和金沙>青羊>金沙,仁和金沙,青羊,金沙
可短租 便宜急租 地铁口精装套一 中庭不临街 配置齐全,1100,58平方米,精装修,公寓,尚港领地(商住楼)>双流>文星,尚港领地(商住楼),双流,文星
唐安首玺 1室1厅1卫 1200元月 精装修 电梯房,1200,55平方米,精装修,普通住宅,唐安首玺>崇州>崇州城区,唐安首玺,崇州,崇州城区
春熙路太升路文殊院地铁附近 电梯套一出租随时看房,1750,40平方米,精装修,普通住宅,时代印象(北东街)>青羊>太升路,时代印象(北东街),青羊,太升路
无中介可月付二仙桥建设路电视塔春熙路西南交大九里提太古里,1860,62平方米,精装修,普通住宅,东城映象A区>成华>圣灯路,东城映象A区,成华,圣灯路
天府一街 智地哥谭精装大标间 水电气三通 汇锦城 环球中心,2300,60平方米,精装修,普通住宅,哥谭>高新区>世纪城,哥谭,高新区,世纪城
万景峰装修非常漂亮的房子  1000月  地铁口 巴适的板,1000,42平方米,精装修,公寓,万景峰(西区商住楼)>郫都>红光,万景峰(西区商住楼),郫都,红光
短租6个月清凤时代城，成都七中，世豪广场，沃尔玛，铁像寺水街,1600,50平方米,精装修,普通住宅,清凤时代城>高新区>大源,清凤时代城,高新区,大源
前锋路地铁口附近套一整租.押一付一家具家电齐全随时看房拎包入,1000,25平方米,简单装修,普通住宅,前锋小区>成华>财富又一城,前锋小区,成华,财富又一城
上善清波小区 1室1厅1卫 2000元月 配套齐全,2000,50平方米,精装修,普通住宅,上善清波小区(A)>青羊>外金沙,上善清波小区(A),青羊,外金沙
5号警官学院站   金华1号   标间  拧包入住,1500,35平方米,精装修,普通住宅,金华1号>天府新区>华阳,金华1号,天府新区,华阳
嘉年华青年城smart公寓 1室1厅1卫 2200元月,2200,62平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
温江城区 赞元街 文武路 南巷子一楼套一带花园空调900元,900,70平方米,简单装修,普通住宅,南巷子17号院>温江>温江城区,南巷子17号院,温江,温江城区
整租套一，玉双路未来中心附近，押一付一，家电齐全，随时看房，,1050,43平方米,简单装修,普通住宅,玉双路52号院>成华>东风路,玉双路52号院,成华,东风路
东门大桥热门小区流星花园精装套一名宿风格带阳台投影仪拎包入住,2600,40平方米,精装修,普通住宅,流星花园>锦江>东大街,流星花园,锦江,东大街
蓝光空港国际城七期 套一 水电气三通 配置齐全 近地铁机场,1400,38平方米,精装修,公寓,蓝光空港国际城(七期)>双流>航空港,蓝光空港国际城(七期),双流,航空港
惊喜价！整租！大源地铁口 天府三街 世豪广场 银泰城 世纪城,2300,60平方米,精装修,普通住宅,锦城南府>高新区>大源,锦城南府,高新区,大源
无中介曹家巷广场精装修法式大套一春熙路太古里红星桥地铁口,3280,86平方米,精装修,普通住宅,曹家巷恒大雅苑>金牛>马鞍路,曹家巷恒大雅苑,金牛,马鞍路
莲花小区 海椒市 全装独立标间 配套齐全 地铁高架边 拎包入,1000,30平方米,精装修,普通住宅,莲花新区南1巷3号院>锦江>莲桂路,莲花新区南1巷3号院,锦江,莲桂路
紧邻红星桥市二医院地铁口交通方便小区房源独门独户拎包入住整租,800,46平方米,简单装修,公寓,红星路一段60号院>青羊>太升路,红星路一段60号院,青羊,太升路
无中介 四号线市二医院地铁 春熙路地铁 九龙广场 ifs整租,1600,45平方米,简单装修,普通住宅,梓潼桥西街18号院>锦江>春熙路,梓潼桥西街18号院,锦江,春熙路
旅游学院电梯套一 带空调 家具家电齐全随时看房 拎包入住,900,42平方米,精装修,普通住宅,金色新时代>龙泉驿>总站片区,金色新时代,龙泉驿,总站片区
上善清波小区  1室1厅1卫 1500元月 配套齐全,1500,50平方米,精装修,普通住宅,上善清波小区(B)>青羊>外金沙,上善清波小区(B),青羊,外金沙
一号线 韦家碾 套一出租 红豆华庭 凤翔云庭地铁口  五块石,1450,50平方米,精装修,普通住宅,王贾红豆华庭>金牛>五块石,王贾红豆华庭,金牛,五块石
天府三街 地铁口 软件园 新希望国际旁 香年广场 精装公寓,2700,52平方米,精装修,公寓,花样年香年广场(商住楼)>高新区>大源,花样年香年广场(商住楼),高新区,大源
实图实价！太平园！交大格外1800元月 南北通透 电梯房,1800,45平方米,精装修,普通住宅,交大格外>武侯>红牌楼,交大格外,武侯,红牌楼
地铁附近电梯房，精装套1，家具家电空调全齐，无物管费,1500,62平方米,精装修,普通住宅,仁和新华>温江>光华大道,仁和新华,温江,光华大道
怡和新城E区，龙平路地铁口，家电齐全，拎包入住！,1100,54平方米,简单装修,普通住宅,怡和新城E1>龙泉驿>总站片区,怡和新城E1,龙泉驿,总站片区
布鲁明顿  枫丹国际   套一   高新  金融城,2500,50平方米,精装修,公寓,布鲁明顿广场>高新区>金融城,布鲁明顿广场,高新区,金融城
太升南路骡马市地铁口附近天府广场旁周边设施齐全独门独户随时,700,24平方米,简单装修,公寓,内姜街75号院>青羊>天府广场,内姜街75号院,青羊,天府广场
索尔龙舟办公全新装修 工作室 公司都很不错的选择8号7号线,1400,35.8平方米,精装修,公寓,索尔龙舟>锦江>川师,索尔龙舟,锦江,川师
新房！新房 可售 锦江区4.2loft 南二环中港 望江河畔,2900,48平方米,精装修,普通住宅,蓝光香槟广场>锦江>春熙路,蓝光香槟广场,锦江,春熙路
无中介可月付 育才竹岛 翡翠半岛 美年广场 软件园 中和精装,2000,60平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
"3号线地铁口,精装修1室1厅1卫拎包入住",1500,50平方米,精装修,普通住宅,怡泰花园>武侯>机投镇,怡泰花园,武侯,机投镇
嘉年华青年城smart公寓 1室1厅1卫 2600元月,2600,62平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
哥谭 一室一厅 精装 近两江国际环球中心写字楼 汇锦城步行街,1500,35平方米,精装修,公寓,哥谭>高新区>世纪城,哥谭,高新区,世纪城
潮流居家市中心房源多多拎包入住 春熙路太古里天府广场东门大桥,4300,82平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
蓝光空港国际城(七期) 1室1厅1卫 1400元月,1400,38平方米,精装修,公寓,蓝光空港国际城(七期)>双流>航空港,蓝光空港国际城(七期),双流,航空港
标准套一 家具家电齐全 温资金港中心临久居福温哥华南苑大成郡,1500,33.9平方米,精装修,普通住宅,温资金港华府(商住楼)>双流>航空港,温资金港华府(商住楼),双流,航空港
紧邻红星桥市二医院地铁口近339电视塔小区房源拎包入住随时看,800,45平方米,简单装修,公寓,猛追湾街26号院>成华>猛追湾,猛追湾街26号院,成华,猛追湾
嘉年华青年城smart公寓 1室1厅1卫 2600元月,2600,62平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
建设路，佳州星城，电子科大，建设巷第五大道，钻石广场盒马,2800,55平方米,精装修,普通住宅,佳州星城>成华>建设路,佳州星城,成华,建设路
高新区软件园会展中心附近精装大套一出行便利环境优美,2200,63平方米,精装修,普通住宅,卡斯摩广场>高新区>世纪城,卡斯摩广场,高新区,世纪城
直租！无中介！茶店子客运站！羊犀立交！金瑞路！拎包入住！,860,43平方米,毛坯,普通住宅,中环西岸观邸>金牛>国宾,中环西岸观邸,金牛,国宾
房东诚心租温馨套一，带空调青羊万达鹏瑞利4号线中坝旁,1450,40平方米,精装修,普通住宅,元益花园>青羊>外光华,元益花园,青羊,外光华
中医大省医院花牌坊抚琴地铁口附近交通方便押一付一独门独户整租,850,47平方米,精装修,公寓,一环路西二段33号院>青羊>草堂,一环路西二段33号院,青羊,草堂
